"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","89","Missing targetTeamId field defaults to 0 and returns 404 TEAM_NOT_FOUND","","Tue Feb 24 02:50:25 UTC 2026","passed","Tue Feb 24 02:50:25 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","missingTargetTeamIdReturns404"
"","88","Non-existent licenseId returns 404 (LICENSE_NOT_FOUND)","","Tue Feb 24 02:50:30 UTC 2026","passed","Tue Feb 24 02:50:30 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","nonExistentLicenseIdReturns404"
"","97","Missing includeOfflineActivationCode returns 400","","Tue Feb 24 02:50:30 UTC 2026","passed","Tue Feb 24 02:50:30 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","missingIncludeOfflineActivationCodeReturns400"
"","92","Fake licenseId in array does not cause 5xx","","Tue Feb 24 02:50:26 UTC 2026","passed","Tue Feb 24 02:50:26 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","fakeLicenseIdDoesNotCauseServerError"
"","585","Transfer multiple licenses returns 200 and all appear in target team","","Tue Feb 24 02:50:25 UTC 2026","passed","Tue Feb 24 02:50:26 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","transferMultipleLicensesToTargetTeamSucceeds"
"","83","Missing X-Api-Key header returns 401","","Tue Feb 24 02:50:31 UTC 2026","passed","Tue Feb 24 02:50:31 UTC 2026","","GET /token — smoke","com.api.testing.smoke.TokenSmokeTest","missingApiKeyHeaderReturns401"
"","85","Missing required contact field returns 400 missing contact.firstName returns 400","","Tue Feb 24 02:50:31 UTC 2026","passed","Tue Feb 24 02:50:31 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","missingRequiredContactFieldReturns400"
"","98","targetTeamId same as source returns 400 or 200 with licenseId not transferred","","Tue Feb 24 02:50:26 UTC 2026","passed","Tue Feb 24 02:50:26 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","sameTargetTeamIdAsSourceIsRejectedOrResultsInNoop"
"","1","Team admin cannot assign a licenseId that belongs to another team — returns 403","","Tue Feb 24 02:50:31 UTC 2026","skipped","Tue Feb 24 02:50:31 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","foreignLicenseIdReturns403"
"","512","includeOfflineActivationCode=true is accepted (code ignored if account exists)","","Tue Feb 24 02:50:28 UTC 2026","passed","Tue Feb 24 02:50:29 UTC 2026","","POST /customer/licenses/assign — positive","com.api.testing.license.assign.AssignLicensePositiveTest","includeOfflineActivationCodeTrueIsAccepted"
"","702","Transfer single license to TARGET_TEAM returns 200","","Tue Feb 24 02:50:24 UTC 2026","passed","Tue Feb 24 02:50:25 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","transferSingleLicenseToTargetTeamSucceeds"
"","201","Mixed licenses: isTransferableBetweenTeams=false stays in source, =true moves to target","","Tue Feb 24 02:50:24 UTC 2026","skipped","Tue Feb 24 02:50:24 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","mixedTransferPartiallySucceeds"
"","90","Non-existent teamId in license.team returns 404 (TEAM_NOT_FOUND)","","Tue Feb 24 02:50:30 UTC 2026","passed","Tue Feb 24 02:50:30 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","nonExistentTeamIdInLicenseReturns404"
"","91","Malformed email returns 400","","Tue Feb 24 02:50:31 UTC 2026","passed","Tue Feb 24 02:50:31 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","malformedEmailReturns400"
"","88","Both licenseId and license provided: licenseId takes precedence, non-existent returns 404","","Tue Feb 24 02:50:30 UTC 2026","passed","Tue Feb 24 02:50:30 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","bothLicenseIdAndLicenseObjectLicenseIdTakesPrecedence"
"","535","Assign to existing org member returns 200","","Tue Feb 24 02:50:29 UTC 2026","passed","Tue Feb 24 02:50:29 UTC 2026","","POST /customer/licenses/assign — positive","com.api.testing.license.assign.AssignLicensePositiveTest","assignToExistingOrgMemberSucceeds"
"","89","Neither licenseId nor license object returns 400","","Tue Feb 24 02:50:30 UTC 2026","passed","Tue Feb 24 02:50:30 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","neitherLicenseIdNorLicenseReturns400"
"","88","Valid API key returns 200 with role=ADMIN and non-empty teams","","Tue Feb 24 02:50:31 UTC 2026","passed","Tue Feb 24 02:50:31 UTC 2026","","GET /token — smoke","com.api.testing.smoke.TokenSmokeTest","validApiKeyReturns200WithAdminRoleAndTeams"
"","86","Invalid X-Customer-Code returns 401","","Tue Feb 24 02:50:29 UTC 2026","passed","Tue Feb 24 02:50:30 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","invalidCustomerCodeReturns401"
"","84","Absent contact object returns 400","","Tue Feb 24 02:50:30 UTC 2026","passed","Tue Feb 24 02:50:30 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","absentContactObjectReturns400"
"","83","Missing licenseIds field returns 400","","Tue Feb 24 02:50:25 UTC 2026","passed","Tue Feb 24 02:50:25 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","missingLicenseIdsReturns400"
"","102","Empty string email returns 400","","Tue Feb 24 02:50:30 UTC 2026","passed","Tue Feb 24 02:50:30 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","emptyStringEmailReturns400"
"","83","Missing required contact field returns 400 missing contact.lastName returns 400","","Tue Feb 24 02:50:31 UTC 2026","passed","Tue Feb 24 02:50:31 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","missingRequiredContactFieldReturns400"
"","888","Assign by explicit licenseId returns 200 and license is marked ASSIGNED","","Tue Feb 24 02:50:27 UTC 2026","passed","Tue Feb 24 02:50:27 UTC 2026","","POST /customer/licenses/assign — positive","com.api.testing.license.assign.AssignLicensePositiveTest","assignByExplicitLicenseIdSucceeds"
